"Price","Area","Bedrooms","Agency","Id","Type","Zone","URL","Timestamp","Ascensor","Garatge","Calefacció","Electrodomèstics","NoFeature","Terrassa","Traster","Jardí","Balcó","Cuina Equipada","Armaris encastats","Safareig","Habitació suite","Vidres dobles","Llar de foc","Box tancat","Moblat","Piscina","Cuina","TV","Internet - Wifi","Planta baixa","Assolellat","Sortida de fums","Aparador","Asfaltat","Apte per fumadors","Rentavaixelles","Cultivable","Porter automàtic","Edificable","Cèntric","Rentadora","S'accepten animals","Adaptat per a minusvàlids","Aire condicionat","Altell","Alarma","Ascensor / muntacàrregues"
"614.000 €","236 m2",3,"Immobiliària Galí",18931,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/18931","2023-11-09 16:56:31.766908",1,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"805.000 €","211 m2",3,"Immobiliària Galí",18912,"venda","ordino","/venda/atic-3-habitacions-2-banys-ordino-terrassa/18912","2023-11-09 16:56:31.795035",1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"415.000 €","118 m2",3,"Becier Immobiliària",24469,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-parking/24469","2023-11-09 16:56:32.142930",0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"621.000 €","209 m2",3,"Immobiliària Galí",18932,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino-terrassa/18932","2023-11-09 16:56:32.714185",1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"420.000 €","93 m2",3,"Aries-Belier",25026,"venda","ordino","/venda/pis-3-habitacions-2-banys-ordino/25026","2023-11-09 16:56:32.734338",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"1.095.000 €","213 m2",4,"Engel & Völkers Andorra",24701,"venda","ordino","/venda/pis-4-habitacions-3-banys-ordino-terrassa-parking/24701","2023-11-09 16:56:32.913914",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1.200.000 €","263 m2",4,"Engel & Völkers Andorra",24700,"venda","ordino","/venda/pis-4-habitacions-3-banys-ordino-terrassa-parking/24700","2023-11-09 16:56:33.397171",1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
"1.200.000 €","284 m2",4,"Engel & Völkers Andorra",24699,"venda","ordino","/venda/pis-4-habitacions-2-banys-ansalonga-terrassa/24699","2023-11-09 16:56:33.930566",1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
"1.100.000 €","311 m2",4,"Engel & Völkers Andorra",24698,"venda","ordino","/venda/pis-4-habitacions-2-banys-ordino-terrassa/24698","2023-11-09 16:56:34.958060",1,0,1,1,0,1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,0,0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0
"1.296.000 €","261 m2",4,"Engel & Völkers Andorra",24624,"venda","ordino","/venda/atic-4-habitacions-3-banys-ordino-terrassa-parking/24624","2023-11-09 16:56:35.197570",1,1,1,1,0,1,0,0,0,1,1,1,1,1,0,0,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0
